ID,Class,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80
1,binocular,1,1,1,2,2,2,4,4,2,2,2,2,3,3,3,2,3,3,3,2,5,0,1,1,0,3,1,2,3,1,6,1,5,4,2,7,0,1,2,1,5,0,1,2,0,4,0,2,3,2,5,1,2,2,1,6,1,3,2,2,1,3,3,6,6,1,3,5,5,5,1,2,2,3,3,1,1,1,1,2
2,chair,2,2,1,0,3,0,4,2,2,4,0,5,0,0,4,2,3,0,0,3,5,1,2,2,5,3,1,4,2,7,0,1,0,0,7,3,0,0,1,3,6,1,2,3,3,2,2,4,5,7,1,2,2,2,7,3,0,2,0,5,3,3,2,0,4,1,5,5,3,4,1,4,3,3,5,2,2,1,0,4
3,tick,5,1,6,2,6,3,2,7,1,6,4,1,7,0,6,3,3,3,1,6,4,2,5,4,5,2,5,6,4,4,3,4,3,5,5,1,4,6,1,6,4,0,6,5,7,5,0,3,2,4,6,1,4,6,2,3,2,7,1,6,6,0,4,6,5,6,1,6,4,5,3,4,7,0,6,3,2,7,3,6
4,minaret,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,3,1,3,1,1,4,2,3,2,1,5,4,4,1,2,5,2,4,0,1,2,0,2,0,0,0,0,1,1,0,1,5,3,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
5,Faces,1,6,4,2,2,0,6,6,5,4,1,7,1,5,3,5,1,4,4,6,3,0,3,2,4,2,3,6,3,4,4,3,4,7,3,6,2,3,5,4,4,2,6,7,5,6,1,5,7,3,7,1,5,6,2,6,1,4,4,6,4,2,5,4,7,5,3,1,6,4,6,2,6,3,3,6,1,2,5,6
6,accordion,3,2,6,2,2,1,0,4,2,4,0,0,0,6,1,0,0,0,2,0,2,2,5,2,7,3,0,3,1,5,4,1,4,1,5,3,2,4,5,3,0,1,2,7,3,1,1,5,6,6,0,1,2,6,7,5,1,2,4,6,0,0,1,2,2,1,2,1,5,7,1,2,2,6,7,1,1,5,3,6
7,rooster,4,4,1,0,2,1,5,2,1,2,0,6,2,0,1,5,4,0,3,3,5,2,6,2,5,1,3,2,5,7,3,1,5,3,4,6,1,3,3,5,7,0,4,5,4,6,1,2,5,6,4,2,6,3,7,5,1,5,4,6,5,3,6,3,5,3,2,6,5,7,3,3,4,6,6,4,2,4,4,5
8,Leopards,4,3,4,4,6,2,3,4,6,7,4,3,4,5,6,4,4,2,5,6,4,3,4,2,6,3,1,4,6,7,4,2,4,5,7,5,2,6,2,6,5,1,2,4,3,3,1,3,7,7,4,1,3,6,7,5,1,4,5,7,5,1,2,5,4,5,1,4,5,6,6,1,4,6,4,4,2,6,5,6
9,watch,0,2,0,1,1,2,3,3,3,4,0,3,2,5,3,0,4,2,1,0,5,3,3,4,6,3,3,5,3,7,3,2,3,5,7,5,3,4,6,2,5,3,4,6,4,3,2,4,6,7,6,2,6,3,5,6,2,3,5,3,1,3,5,6,5,1,5,3,6,5,2,3,5,4,4,0,4,3,6,3
10,dragonfly,2,0,0,2,2,4,0,2,4,4,1,0,0,2,2,1,0,0,2,0,1,0,0,0,0,6,0,3,6,5,4,1,3,2,3,0,2,2,0,2,0,0,0,0,0,4,2,5,4,4,2,2,6,6,6,0,1,2,0,1,2,1,4,1,5,3,0,0,4,3,4,1,2,6,7,2,0,2,1,1
